Condition,D,
Initials,JEL,
Gender,Female,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,Herring population decreased as a result of increased harvesting.,
What is the effect on winter flounder?,Increased a little,1
Why?,Population increased as a result of decreased harvesting.,
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,"Yellowtail and haddock populations both remained stable, so the balance was unchanged.",
What is the effect on skates?,Decreased a lot,3
Why?,Overfishing.,
What is the effect on cod?,Increased a lot,3
Why?,"Population of spiny dogfish, which predate on cod, drastically decreased.",
What is the effect on haddock?,Decreased a lot,3
Why?,"The population of skates, which compete with yellowtail flounder, decreased, causing the yellowtail population to increase. Yellowtails compete with haddock, leaving fewer resources for the haddock.",
What is the effect on windowpane?,Decreased a little,1
Why?,"The population of spiny dogfish, which predate on cod, decreased, causing the cod population to increase. Windowpanes compete with cod, leaving fewer resources for the windowpanes.",
