Condition,B,
Initials,arb,
Gender,Female,
College,CHHS,
What is the effect on herring?,Decreased a little,3
Why?,The number decreased because they were being fished more.,
What is the effect on winter flounder?,Increased a lot,3
Why?,Winter flounder increased because they were not being caught as much as they once were.,
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,"They are forced to compete with more fish, so they were not able to increase due to increased competition.",
What is the effect on skates?,Decreased a lot,3
Why?,"The skates were being harvested more, so therefore the number of them decerased significantly.",
What is the effect on cod?,Increased a lot,3
Why?,"The number of Spiny Dogfish decreased, and Cod are preyed on by Spiny Dogfish.  Because the number of Spiny Dogfish decreased due to fishing, the number of Cod increased because they weren't eaten as much.",
What is the effect on haddock?,Decreased a little,2
Why?,"Skates prey of herring, but the number of skates decreased. Haddock also prey of Herring, so now they have more herring to eat due to decreased amounts of Skates.",
What is the effect on windowpane?,Decreased a lot,3
Why?,"Windowpane compete with Skates, and the number of Skates decreased.  Windowpane are now able to eat more due to decreased competition.",
