Condition,C,
Initials,MJH,
Gender,Female,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,"Because we caught more herring, there are less of them.",
What is the effect on winter flounder?,Increased a lot,3
Why?,There are more winter flounder because we decreased catching them by half.,
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,"By decreasing catching yellowfish flounder by half, there are just as many as there was before",
What is the effect on skates?,Decreased a lot,3
Why?,The number of skates decreased a lot because the number of winter flounder increased and they compete with skates.,
What is the effect on cod?,Increased a lot,3
Why?,Cod increased a lot because spiny dogfish prey on cod and now there are less dogfish to prey on them,
What is the effect on haddock?,Decreased a little,2
Why?,Skates compete with haddock so if there are less skates there will be less cod,
What is the effect on windowpane?,Decreased a lot,3
Why?,There are less windowpane because skates prey on windowpane,
