Condition,B,
Initials,BG,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a lot,2
Why?,the increase of havesting small pelagics means the you harvest more herring so the population decrease. you are catching more,
What is the effect on winter flounder?,Increased a lot,3
Why?,"Since you catch less fish, there are more of the population left. ",
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,Because their population is not effected by harvest,
What is the effect on skates?,Decreased a lot,3
Why?,Because you are harvesting more skates,
What is the effect on cod?,Increased a lot,3
Why?,skates eat cod. so less skates mean more cod,
What is the effect on haddock?,Decreased a little,2
Why?,It decreased because of competition,
What is the effect on windowpane?,Decreased a lot,3
Why?,It decreased because of competition,
