Condition,B,
Initials,AEJ,
Gender,Female,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,The population of Herring decreased because of Spiny Dogfish preying on them.,
What is the effect on winter flounder?,Increased a lot,3
Why?,Winter flounder increased because there are multiple fish that compete with it such as Skates and Spiny Dogfish.,
What is the effect on yellowtail flounder?,Decreased a little,0
Why?,Their competition skates compete with them.,
What is the effect on skates?,Decreased a lot,3
Why?,Skates decreased a lot because of the very big increased of winter flounder which would result in them being killed off.,
What is the effect on cod?,Increased a lot,3
Why?,Cod increased a lot because of the decrease in Spiny Dogfish which is their predator. ,
What is the effect on haddock?,Decreased a little,2
Why?,Haddock decreased a little because of their competition with yellow tail flounder which increased a little. ,
What is the effect on windowpane?,Decreased a little,1
Why?,Decreased due to the increase of yellowtail flounder which increased a little.,
