Condition,B,
Initials,ck,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a little,3
Why?,Hering compete with macreal,
What is the effect on winter flounder?,Increased a lot,3
Why?,There were less fisherman fishing for flatfish,
What is the effect on yellowtail flounder?,Increased a little,2
Why?,Less flatfish were being harvested,
What is the effect on skates?,Decreased a lot,3
Why?,Skates compete with dogfish,
What is the effect on cod?,Increased a lot,3
Why?,dog fish pray on cod,
What is the effect on haddock?,Decreased a little,2
Why?,Haddock compete cod,
What is the effect on windowpane?,Decreased a lot,3
Why?,"Skates Compete with window pane
Skates Compete with Haddock
Haddock compete with windowpane",
